id,lang,accept_length,accept_rate,completion_tokens,verify_ct
21,hi,1.4545454545454546,0.14772727272727273,128,88
22,hi,1.4065934065934067,0.13186813186813187,128,91
23,hi,1.3617021276595744,0.11702127659574468,128,94
24,hi,1.4222222222222223,0.13703703703703704,128,90
25,hi,1.292929292929293,0.09427609427609428,128,99
26,hi,1.3763440860215055,0.12186379928315412,128,93
27,hi,1.3061224489795917,0.09863945578231292,128,98
28,hi,1.292929292929293,0.09427609427609428,128,99
29,hi,1.3473684210526315,0.11228070175438597,128,95
30,hi,1.3473684210526315,0.11578947368421053,128,95
31,hi,1.3473684210526315,0.11228070175438597,128,95
32,hi,1.4065934065934067,0.13186813186813187,128,91
33,hi,1.3617021276595744,0.11702127659574468,128,94
34,hi,1.4222222222222223,0.14444444444444443,128,90
35,hi,1.3473684210526315,0.11228070175438597,128,95
36,hi,1.4065934065934067,0.13186813186813187,128,91
37,hi,1.4883720930232558,0.15891472868217055,128,86
38,hi,1.4065934065934067,0.13186813186813187,128,91
39,hi,1.2427184466019416,0.08414239482200647,128,103
40,hi,1.2673267326732673,0.0891089108910891,128,101
41,hi,1.391304347826087,0.13043478260869565,128,92
42,hi,1.4883720930232558,0.15891472868217055,128,86
43,hi,1.3333333333333333,0.1111111111111111,128,96
44,hi,1.292929292929293,0.09427609427609428,128,99
45,hi,1.4065934065934067,0.13186813186813187,128,91
46,hi,1.3333333333333333,0.1076388888888889,128,96
47,hi,1.5609756097560976,0.18292682926829268,128,82
48,hi,1.3333333333333333,0.1076388888888889,128,96
49,hi,1.391304347826087,0.12681159420289856,128,92
0,gu,1.0406504065040652,0.01084010840108401,128,123
1,gu,1.0406504065040652,0.01084010840108401,128,123
2,gu,1.0847457627118644,0.025423728813559324,128,118
3,gu,1.0578512396694215,0.01928374655647383,128,121
4,gu,1.0406504065040652,0.01084010840108401,128,123
5,gu,1.0578512396694215,0.01652892561983471,128,121
6,gu,1.0158730158730158,0.0026455026455026454,128,126
7,gu,1.0847457627118644,0.025423728813559324,128,118
8,gu,1.0578512396694215,0.01652892561983471,128,121
9,gu,1.032258064516129,0.008064516129032258,128,124
10,gu,1.0578512396694215,0.01652892561983471,128,121
11,gu,1.0756302521008403,0.022408963585434174,128,119
12,gu,1.0578512396694215,0.01652892561983471,128,121
13,gu,1.0847457627118644,0.025423728813559324,128,118
14,gu,1.0578512396694215,0.01652892561983471,128,121
15,gu,1.0406504065040652,0.01084010840108401,128,123
16,gu,1.1228070175438596,0.038011695906432746,128,114
17,gu,1.103448275862069,0.031609195402298854,128,116
18,gu,1.0666666666666667,0.019444444444444445,128,120
19,gu,1.0158730158730158,0.0026455026455026454,128,126
20,gu,1.0756302521008403,0.022408963585434174,128,119
21,gu,1.0756302521008403,0.025210084033613446,128,119
22,gu,1.1743119266055047,0.05504587155963303,128,109
23,gu,1.1327433628318584,0.04129793510324484,128,113
24,gu,1.0756302521008403,0.022408963585434174,128,119
25,gu,1.0666666666666667,0.019444444444444445,128,120
26,gu,1.032258064516129,0.008064516129032258,128,124
27,gu,1.0406504065040652,0.01084010840108401,128,123
28,gu,1.024,0.005333333333333333,128,125
29,gu,1.0491803278688525,0.01639344262295082,128,122
30,gu,1.0666666666666667,0.019444444444444445,128,120
31,gu,1.0406504065040652,0.01084010840108401,128,123
32,gu,1.0491803278688525,0.01366120218579235,128,122
33,gu,1.103448275862069,0.031609195402298854,128,116
34,gu,1.0666666666666667,0.019444444444444445,128,120
35,gu,1.1228070175438596,0.038011695906432746,128,114
36,gu,1.032258064516129,0.008064516129032258,128,124
37,gu,1.0940170940170941,0.02849002849002849,128,117
38,gu,1.0158730158730158,0.0026455026455026454,128,126
39,gu,1.1327433628318584,0.04129793510324484,128,113
40,gu,1.032258064516129,0.008064516129032258,128,124
41,gu,1.1327433628318584,0.04129793510324484,128,113
42,gu,1.0756302521008403,0.022408963585434174,128,119
43,gu,1.1743119266055047,0.05504587155963303,128,109
44,gu,1.0406504065040652,0.01084010840108401,128,123
45,gu,1.0491803278688525,0.01366120218579235,128,122
46,gu,1.032258064516129,0.016129032258064516,128,124
47,gu,1.024,0.005333333333333333,128,125
48,gu,1.0666666666666667,0.019444444444444445,128,120
49,gu,1.0666666666666667,0.019444444444444445,128,120
